timestamp,timeframe,signal,buy,sell,neutral,error
2026-01-04T11:49:15.325400,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T12:02:47.350959,1 Minute,BUY,13.0,4.0,9.0,
2026-01-04T12:02:47.350959,5 Minutes,BUY,14.0,2.0,10.0,
2026-01-04T12:02:47.350959,15 Minutes,BUY,14.0,4.0,8.0,
2026-01-04T12:02:47.350959,30 Minutes,BUY,14.0,6.0,6.0,
2026-01-04T12:02:47.350959,1 Hour,BUY,16.0,5.0,5.0,
2026-01-04T12:02:47.350959,2 Hour,STRONG_BUY,16.0,1.0,9.0,
2026-01-04T12:02:47.350959,4 Hour,STRONG_BUY,16.0,0.0,10.0,
2026-01-04T12:02:47.350959,1 Day,BUY,12.0,5.0,9.0,
2026-01-04T12:02:47.350959,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T13:14:49.146367,1 Minute,SELL,4.0,13.0,9.0,
2026-01-04T13:14:49.146367,5 Minutes,NEUTRAL,7.0,9.0,10.0,
2026-01-04T13:14:49.146367,15 Minutes,BUY,13.0,3.0,10.0,
2026-01-04T13:14:49.146367,30 Minutes,BUY,14.0,4.0,8.0,
2026-01-04T13:14:49.146367,1 Hour,BUY,14.0,5.0,7.0,
2026-01-04T13:14:49.146367,2 Hour,BUY,15.0,4.0,7.0,
2026-01-04T13:14:49.146367,4 Hour,BUY,15.0,2.0,9.0,
2026-01-04T13:14:49.146367,1 Day,BUY,12.0,6.0,8.0,
2026-01-04T13:14:49.146367,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T22:07:57.205986,1 Minute,SELL,4.0,13.0,9.0,
2026-01-04T22:07:57.205986,5 Minutes,SELL,6.0,10.0,10.0,
2026-01-04T22:07:57.205986,15 Minutes,BUY,11.0,6.0,9.0,
2026-01-04T22:07:57.205986,30 Minutes,BUY,13.0,3.0,10.0,
2026-01-04T22:07:57.205986,1 Hour,BUY,14.0,2.0,10.0,
2026-01-04T22:07:57.205986,2 Hour,BUY,15.0,6.0,5.0,
2026-01-04T22:07:57.205986,4 Hour,BUY,14.0,5.0,7.0,
2026-01-04T22:07:57.205986,1 Day,BUY,12.0,5.0,9.0,
2026-01-04T22:07:57.205986,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T22:19:33.674863,1 Minute,SELL,3.0,13.0,10.0,
2026-01-04T22:19:33.674863,5 Minutes,SELL,6.0,10.0,10.0,
2026-01-04T22:19:33.674863,15 Minutes,BUY,10.0,6.0,10.0,
2026-01-04T22:19:33.674863,30 Minutes,BUY,12.0,4.0,10.0,
2026-01-04T22:19:33.674863,1 Hour,BUY,14.0,2.0,10.0,
2026-01-04T22:19:33.674863,2 Hour,BUY,14.0,7.0,5.0,
2026-01-04T22:19:33.674863,4 Hour,BUY,14.0,5.0,7.0,
2026-01-04T22:19:33.674863,1 Day,BUY,12.0,5.0,9.0,
2026-01-04T22:19:33.674863,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T22:22:40.553394,1 Minute,SELL,3.0,13.0,10.0,
2026-01-04T22:22:40.553394,5 Minutes,SELL,7.0,12.0,7.0,
2026-01-04T22:22:40.553394,15 Minutes,NEUTRAL,9.0,7.0,10.0,
2026-01-04T22:22:40.553394,30 Minutes,BUY,12.0,4.0,10.0,
2026-01-04T22:22:40.553394,1 Hour,BUY,14.0,2.0,10.0,
2026-01-04T22:22:40.553394,2 Hour,BUY,14.0,7.0,5.0,
2026-01-04T22:22:40.553394,4 Hour,BUY,14.0,5.0,7.0,
2026-01-04T22:22:40.553394,1 Day,BUY,12.0,6.0,8.0,
2026-01-04T22:22:40.553394,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T22:26:00.765632,1 Minute,SELL,3.0,13.0,10.0,
2026-01-04T22:26:00.765632,5 Minutes,SELL,9.0,13.0,4.0,
2026-01-04T22:26:00.765632,15 Minutes,NEUTRAL,8.0,8.0,10.0,
2026-01-04T22:26:00.765632,30 Minutes,BUY,11.0,5.0,10.0,
2026-01-04T22:26:00.765632,1 Hour,BUY,14.0,2.0,10.0,
2026-01-04T22:26:00.765632,2 Hour,BUY,14.0,7.0,5.0,
2026-01-04T22:26:00.765632,4 Hour,BUY,14.0,5.0,7.0,
2026-01-04T22:26:00.765632,1 Day,BUY,12.0,6.0,8.0,
2026-01-04T22:26:00.765632,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T22:30:53.422801,1 Minute,SELL,5.0,11.0,10.0,
2026-01-04T22:30:53.422801,5 Minutes,SELL,6.0,13.0,7.0,
2026-01-04T22:30:53.422801,15 Minutes,NEUTRAL,9.0,8.0,9.0,
2026-01-04T22:30:53.422801,30 Minutes,BUY,12.0,4.0,10.0,
2026-01-04T22:30:53.422801,1 Hour,BUY,14.0,2.0,10.0,
2026-01-04T22:30:53.422801,2 Hour,BUY,14.0,7.0,5.0,
2026-01-04T22:30:53.422801,4 Hour,BUY,14.0,5.0,7.0,
2026-01-04T22:30:53.422801,1 Day,BUY,12.0,6.0,8.0,
2026-01-04T22:30:53.422801,1 Week,SELL,7.0,11.0,8.0,
